day,LAI,TDM,YIELD,CWDv,CWDr,CRainv,CRainr,CVPDv,CVPDr,LAIR1,LAIR5,TDMR1,TDMR5,TWCR1,TWCR5,CTv,CTr,TWC,RADv,RADr
2013-12-29,1.3564552887394878,0.11127471251442193,0.0,49.469200930045425,0.0,62.401179341158674,0.0,61.753445621521806,0.0,,,,,,,58.499633702917386,0.0,82.40908456878573,177.32155798244514,0.0
2013-12-30,1.3753759681469604,0.11327937393007477,0.0,52.24760955370104,0.0,62.401179341158674,0.0,63.74879504500406,0.0,,,,,,,60.84558039042451,0.0,79.8810844709494,182.17731902573854,0.0
2013-12-31,1.3922336029694944,0.11509654263524292,0.0,54.48863631942284,0.0,67.90793741063968,0.0,65.95002159519927,0.0,,,,,,,63.20056812733483,0.0,82.82457394786046,188.91835065970636,0.0
2014-01-01,1.411516566747203,0.1172127452066914,0.0,57.90097729226036,0.0,67.90793741063968,0.0,67.84019981063454,0.0,,,,,,,65.55639956574227,0.0,78.59117977937987,194.39109697064777,0.0
2014-01-02,1.437802043286473,0.1201422569338529,0.0,60.51360405169435,0.0,81.39580833375834,0.0,69.20561506496286,0.0,,,,,,,67.91408536248385,0.0,88.8298611937667,200.71485718275756,0.0
2014-01-03,1.4765100974845426,0.12452719892021169,0.0,62.608492242548024,0.0,107.42731168920709,0.0,69.66272700440324,0.0,,,,,,,69.05524704355004,0.0,112.57215820542255,202.25885083992614,0.0
2014-01-04,1.5054645966610325,0.1278471425676484,0.0,62.74965392361422,0.0,107.42731168920709,0.0,70.86756673205595,0.0,,,,,,,72.59547638672505,0.0,105.59947600268391,210.3246254888251,0.0
2014-01-05,1.527069369860791,0.13034801605467974,0.0,65.28988326678923,0.0,107.42731168920709,0.0,72.46700789561044,0.0,,,,,,,76.71117636922372,0.0,97.60041399807335,218.48382554813816,0.0
2014-01-06,1.549045943067585,0.1329214432024371,0.0,68.4055832492879,0.0,107.42731168920709,0.0,74.02135537480208,0.0,,,,,,,80.4892939002505,0.0,90.33725298733384,226.4465266923624,0.0
2014-01-07,1.5658520008505123,0.13492120497672108,0.0,71.18370078031468,0.0,107.42731168920709,0.0,76.02159362889724,0.0,,,,,,,85.29761993710363,0.0,83.54620317400706,234.58512031005262,0.0
2014-01-08,1.5831315469380378,0.13701594236278064,0.0,74.99202681716781,0.0,148.42891883395907,0.0,76.98892985597732,0.0,,,,,,,86.85641145881613,0.0,122.64987298097132,235.3227038966933,0.0
2014-01-09,1.6139707715270577,0.1408267374515138,0.0,75.5508183388803,0.0,148.42891883395907,0.0,78.03857957653727,0.0,1.6139707715270577,,1408.267374515138,,116.02680701145731,,90.38179181105546,0.0,116.02680701145731,243.52095466108045,0.0
